VISIT.,AMGR,AMMA,ANBO,PSRE,RAAU,RACA,RAPR,TAGR,SiteCode
09-10,NA,NA,NA,39,NA,NA,NA,12,CAMAS
09-12,NA,NA,NA,1,NA,NA,NA,NA,BRUR
09-18,NA,NA,NA,NA,NA,NA,NA,NA,CAMAS
09-21,NA,NA,1,NA,NA,NA,NA,NA,BRUR
09-23,NA,NA,NA,4,NA,NA,NA,2,DRY
09-30,NA,NA,NA,6,NA,2,NA,NA,JACK
09-29,NA,NA,NA,1,NA,NA,NA,NA,DRY
09-32,NA,NA,1,NA,NA,NA,NA,NA,BRUR
09-36,NA,NA,NA,2,NA,NA,NA,NA,FRY
09-35,NA,NA,NA,NA,NA,NA,NA,NA,JACK
09-34,NA,NA,NA,NA,NA,NA,NA,2,DRY
09-37,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
09-38,NA,NA,NA,NA,NA,NA,NA,1,FROG
09-40,NA,NA,NA,2,NA,10,NA,1,JACK
09-39,NA,NA,1,NA,NA,NA,NA,NA,DRY
09-41,NA,NA,NA,NA,NA,NA,NA,NA,FROG
09-44,NA,NA,NA,NA,NA,3,NA,NA,JACK
09-43,NA,NA,NA,NA,NA,NA,NA,NA,DRY
09-47,NA,NA,NA,NA,NA,NA,NA,NA,FROG
09-48,NA,NA,NA,NA,NA,NA,NA,1,FRY
09-49,NA,NA,NA,NA,NA,NA,NA,NA,CAMAS
09-51,NA,NA,NA,1,NA,NA,NA,NA,JACK
10-03,NA,NA,NA,200,NA,NA,3,NA,CAMAS
10-04,NA,NA,NA,NA,NA,NA,NA,NA,WEENS
10-08,NA,NA,NA,50,NA,NA,NA,NA,CAMAS
10-09,NA,NA,NA,100,NA,NA,NA,1,CAMAS
10-12,NA,NA,2,20,NA,NA,NA,1,DRY
10-11,NA,NA,NA,NA,NA,NA,NA,NA,CAMAS
10-14,NA,NA,46,2,NA,NA,NA,NA,FROG
10-20,NA,NA,4,NA,NA,NA,NA,1,BRUR
10-22,NA,NA,3,4,NA,NA,NA,NA,FRY
10-21,NA,NA,NA,1,NA,NA,NA,100,FROG
10-24,NA,NA,NA,NA,NA,NA,NA,NA,JACK
10-23,NA,NA,NA,NA,NA,NA,NA,NA,DRY
10-25,NA,NA,NA,NA,NA,NA,NA,NA,LCM
10-26,NA,NA,NA,NA,NA,NA,NA,4,FROG
10-28,NA,NA,4,NA,NA,NA,NA,NA,BRUR
10-30,NA,NA,NA,NA,NA,NA,NA,NA,DRY
10-29,NA,NA,NA,2,NA,NA,NA,NA,CAMAS
10-33,NA,NA,1,NA,NA,15,NA,8,JACK
10-32,NA,NA,NA,NA,NA,NA,NA,NA,DRY
10-35,NA,NA,1,NA,NA,NA,NA,NA,FRY
10-36,NA,NA,NA,NA,NA,NA,NA,NA,CAMAS
10-37,NA,NA,NA,NA,NA,1,NA,NA,JACK
11-04,NA,NA,NA,50,NA,NA,NA,1,CAMAS
11-07,NA,NA,NA,2,NA,NA,NA,2,CAMAS
11-10,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
11-11,NA,NA,NA,NA,NA,NA,NA,3,WEENS
11-12,NA,NA,NA,8,NA,NA,NA,NA,CAMAS
11-16,NA,1,NA,NA,NA,NA,NA,NA,CAMAS
11-19,NA,NA,8,6,NA,NA,NA,NA,FROG
11-20,NA,NA,NA,5,NA,1,NA,4,JACK
11-21,NA,NA,NA,NA,NA,NA,NA,NA,DRY
